中文名,英文名,影片容量
银河护卫队(4K原盘+含国语次世代),Guardians of the Galaxy (2014),59.3G
银河护卫队2(4K原盘+含国语次世代),Guardians of the Galaxy Vol. 2 (2017),67G
银河护卫队3/星际异攻队3/银河守护队3(4K原盘+含国语次世代),Guardians of the Galaxy Vol. 3 (2023),66G
移动迷宫(4K原盘+含国语次世代),The Maze Runner (2014),54.9G
移动迷宫2(4K原盘+含国语次世代),Maze Runner: The Scorch Trials (2015),59.5G
移动迷宫3：死亡解药(4K原盘+国语次世代),Maze Runner: The Death Cure (2018),63.5G
哥吉拉,Godzilla (2014),
金剛：骷髏島,Kong: Skull Island (2017),
哥吉拉2：怪獸之王,Godzilla: King of the Monsters (2019),
哥吉拉對金剛,Godzilla vs. Kong (2021),
哥吉拉與金剛：新帝國,Godzilla x Kong: The New Empire (2024),
死侍,Deadpool (2016),
死侍2(4K原盘),Deadpool 2 (2018),56.2G
死侍与金刚狼,Deadpool & Wolverine (2024),
怪兽与它们的产地,Fantastic Beasts and Where to Find Them (2016),
怪兽与葛林戴华德的罪行,Fantastic Beasts: The Crimes of Grindelwald (2018),
怪兽与邓不利多的秘密,Fantastic Beasts: The Secrets of Dumbledore (2022),
疾速特攻/疾速追杀2(4K原盘),John Wick: Chapter 2 (2017),88.4G
疾速追杀4/杀神John Wick4/捍卫任务4/疾速对决/疾速反击(4K原盘+国语次世代),John Wick: Chapter 4 (2023),102G
黑豹(4K原盘+国语次世代),Black Panther (2018),59.3G
黑豹2：瓦干达万岁,Black Panther: Wakanda Forever (2022),
毒液：致命守护者/毒魔(4K原盘+含国语次世代),Venom (2018),60.5G
毒液2：屠杀登场,Venom: Let There Be Carnage (2021),
毒液：最后一舞/毒液3(4K原盘+国语次世代),Venom: The Last Dance (2024),65.1G
火星救援/火星任务(4K原盘+含国语次世代),The Martian (2015),53.5G
头号玩家(4K原盘+含国语次世代),Ready Player One (2018),81.7G
壮志凌云(4K原盘+含国语音轨),Top Gun (1986),65.8G
芬奇/芬奇的旅程/人生/生化,Finch 2021,20G
阿丽塔：战斗天使/铳梦：战斗天使(4K原盘+含国语次世代),Alita: Battle Angel (2019),65.3G
拯救大兵瑞恩/雷霆救兵(4K原盘+国语次世代音轨),Saving Private Ryan (1998),92.5G
星际探索/星际任务/星际救援(4K原盘+含国语次世代),Ad Astra (2019),59.4G
海王(4K原盘+国语次世代),Aquaman (2018),90.7G
海王2：失落的王国/水行侠 失落王国(4K原盘+含国语次世代),Aquaman and the Lost Kingdom (2023),85.8G
第五元素(4K原盘+含国语次世代),The Fifth Element (1997),84.4G
最后生还者/美国末日/末日余生 第一季(4K原盘),The Last of Us Season 1 (2023),249G
最终幻想：灵魂深处(4K原盘+含国语次世代),Final Fantasy: The Spirits Within (2001),60.6G
敦刻尔克/敦刻尔克大撤退(4K原盘+国语音轨),Dunkirk (2017),55.9G
魔兽/魔兽：崛起(4K原盘+含国语次世代),Warcraft (2016),55.6G
